,iter,score,time,event,passes,iteration
0,8,98,1.4964890480041504,normal,8,0
1,16,59,1.495713233947754,normal,8,0
2,24,62,1.5199470520019531,normal,8,0
3,34,86,1.707749843597412,normal,10,0
4,43,66,1.0421209335327148,normal,9,0
5,50,56,0.7416589260101318,normal,7,0
0,6,76,0.714606523513794,normal,6,1
1,16,61,1.3337416648864746,normal,10,1
2,23,51,0.8603029251098633,normal,7,1
3,34,54,1.315300464630127,normal,11,1
4,41,79,0.8276660442352295,normal,7,1
5,47,84,1.1121246814727783,normal,6,1
6,50,95,0.5647029876708984,normal,3,1
0,9,69,1.6607615947723389,normal,9,2
1,18,81,1.6752922534942627,normal,9,2
2,24,53,1.1316502094268799,normal,6,2
3,31,71,1.0475108623504639,normal,7,2
4,38,77,1.2419626712799072,normal,7,2
5,48,73,1.2244443893432617,normal,10,2
6,50,130,0.21227169036865234,normal,2,2
0,7,78,1.0816364288330078,normal,7,3
1,15,55,0.9881629943847656,normal,8,3
2,23,88,1.3101232051849365,normal,8,3
3,29,67,0.8117728233337402,normal,6,3
4,36,91,0.8739602565765381,normal,7,3
5,44,68,0.9489705562591553,normal,8,3
6,50,68,1.1225409507751465,normal,6,3
0,9,68,1.564755916595459,normal,9,4
1,19,70,1.3259806632995605,normal,10,4
2,27,75,1.1724903583526611,normal,8,4
3,35,96,1.5325860977172852,normal,8,4
4,45,47,1.153808832168579,normal,10,4
5,50,70,0.5549488067626953,normal,5,4
0,8,68,1.4962975978851318,normal,8,5
1,15,45,1.3104228973388672,normal,7,5
2,24,97,1.7038004398345947,normal,9,5
3,33,57,1.2685458660125732,normal,9,5
4,43,66,1.4236299991607666,normal,10,5
5,50,75,0.7692179679870605,normal,7,5
0,7,73,1.311574935913086,normal,7,6
1,15,73,1.4872360229492188,normal,8,6
2,25,85,1.8886260986328125,normal,10,6
3,37,61,2.1139535903930664,normal,12,6
4,46,82,1.0349514484405518,normal,9,6
5,50,75,0.43180084228515625,normal,4,6
0,6,78,1.1155927181243896,normal,6,7
1,12,73,0.8790566921234131,normal,6,7
2,19,91,1.301175832748413,normal,7,7
3,25,61,1.1281089782714844,normal,6,7
4,34,43,1.6971125602722168,normal,9,7
5,45,74,1.4624247550964355,normal,11,7
6,50,90,0.5358011722564697,normal,5,7
0,7,86,0.826418399810791,normal,7,8
1,14,95,0.8064589500427246,normal,7,8
2,24,79,1.5245649814605713,normal,10,8
3,34,66,1.8705286979675293,normal,10,8
4,42,81,1.5014147758483887,normal,8,8
5,50,46,0.9409580230712891,normal,8,8
0,7,78,0.8446915149688721,normal,7,9
1,15,75,1.502476692199707,normal,8,9
2,21,69,1.13755464553833,normal,6,9
3,30,50,1.6947014331817627,normal,9,9
4,38,68,1.4554226398468018,normal,8,9
5,45,77,0.8056437969207764,normal,7,9
6,50,55,0.5460543632507324,normal,5,9
0,6,66,0.8983175754547119,normal,6,10
1,12,57,0.9721529483795166,normal,6,10
2,23,55,1.4102559089660645,normal,11,10
3,32,71,1.071014165878296,normal,9,10
4,40,59,0.9100048542022705,normal,8,10
5,48,56,0.9250986576080322,normal,8,10
6,50,169,0.23135733604431152,normal,2,10
0,13,62,1.8191254138946533,normal,13,11
1,24,52,1.3286223411560059,normal,11,11
2,33,62,1.0417237281799316,normal,9,11
3,40,96,0.9705488681793213,normal,7,11
4,49,100,1.1438186168670654,normal,9,11
5,50,292,0.12156319618225098,normal,1,11
0,7,70,1.3286685943603516,normal,7,12
1,13,103,0.9257831573486328,normal,6,12
2,21,70,0.9609854221343994,normal,8,12
3,30,73,1.0699396133422852,normal,9,12
4,37,68,1.322202444076538,normal,7,12
5,46,88,1.6770107746124268,normal,9,12
6,50,93,0.4932115077972412,normal,4,12
0,9,60,1.7030701637268066,normal,9,13
1,15,50,1.134873628616333,normal,6,13
2,21,78,1.1388869285583496,normal,6,13
3,29,65,1.4966833591461182,normal,8,13
4,36,70,1.319589376449585,normal,7,13
5,45,93,1.2329351902008057,normal,9,13
6,50,77,0.5305442810058594,normal,5,13
0,8,83,0.9649004936218262,normal,8,14
1,16,76,1.0687363147735596,normal,8,14
2,24,63,1.0361642837524414,normal,8,14
3,33,71,1.6850545406341553,normal,9,14
4,40,89,1.3613460063934326,normal,7,14
5,47,78,1.219966173171997,normal,7,14
6,50,121,0.34059882164001465,normal,3,14
0,7,98,0.9078426361083984,normal,7,15
1,15,44,0.9679687023162842,normal,8,15
2,23,69,1.4217591285705566,normal,8,15
3,32,100,1.6952018737792969,normal,9,15
4,39,77,1.326425552368164,normal,7,15
5,46,75,1.3145956993103027,normal,7,15
6,50,142,0.48351073265075684,normal,4,15
0,9,53,1.5754427909851074,normal,9,16
1,16,73,1.3211023807525635,normal,7,16
2,22,60,1.1496622562408447,normal,6,16
3,27,70,0.9627642631530762,normal,5,16
4,35,69,1.5209083557128906,normal,8,16
5,44,66,1.526186466217041,normal,9,16
6,50,71,0.6222507953643799,normal,6,16
0,8,69,1.2463209629058838,normal,8,17
1,17,55,1.3161635398864746,normal,9,17
2,26,49,1.6768417358398438,normal,9,17
3,34,79,1.507256269454956,normal,8,17
4,40,80,1.1274096965789795,normal,6,17
5,47,84,1.1280198097229004,normal,7,17
6,50,114,0.32329654693603516,normal,3,17
0,9,64,1.68540620803833,normal,9,18
