,iter,score,time,event,passes,iteration
0,9,62,1.692777156829834,normal,9,0
1,18,63,1.2129807472229004,normal,9,0
2,26,62,0.9279813766479492,normal,8,0
3,35,92,1.0246715545654297,normal,9,0
4,39,101,0.44844722747802734,normal,4,0
5,47,68,1.2501487731933594,normal,8,0
6,54,56,0.9478151798248291,normal,7,0
7,62,79,1.2127513885498047,normal,8,0
8,68,74,0.7343370914459229,normal,6,0
9,77,84,1.202047348022461,normal,9,0
10,84,80,1.0067164897918701,normal,7,0
11,90,64,1.1325254440307617,normal,6,0
12,96,86,1.1179587841033936,normal,6,0
13,100,84,0.47129225730895996,normal,4,0
0,9,82,1.0972766876220703,normal,9,1
1,19,88,1.1409213542938232,normal,10,1
2,28,73,1.690614938735962,normal,9,1
3,40,60,2.2567942142486572,normal,12,1
4,48,85,1.5038206577301025,normal,8,1
5,59,85,1.812856674194336,normal,11,1
6,67,71,1.4998407363891602,normal,8,1
7,75,45,1.5025992393493652,normal,8,1
8,85,57,1.8871941566467285,normal,10,1
9,93,89,0.9984815120697021,normal,8,1
10,100,82,0.7253904342651367,normal,7,1
0,8,64,1.4957678318023682,normal,8,2
1,17,76,1.3524525165557861,normal,9,2
2,24,62,1.319157600402832,normal,7,2
3,33,81,1.688601016998291,normal,9,2
4,42,62,1.6292600631713867,normal,9,2
5,53,61,1.7262060642242432,normal,11,2
6,61,91,0.9056048393249512,normal,8,2
7,70,68,1.0452704429626465,normal,9,2
8,76,77,0.7289009094238281,normal,6,2
9,83,95,0.7978944778442383,normal,7,2
10,89,67,0.697718620300293,normal,6,2
11,100,60,1.5336370468139648,normal,11,2
0,7,77,1.3019721508026123,normal,7,3
1,15,69,1.301081895828247,normal,8,3
2,23,66,1.2281699180603027,normal,8,3
3,30,90,0.8630595207214355,normal,7,3
4,38,61,0.9008550643920898,normal,8,3
5,45,67,0.9739124774932861,normal,7,3
6,51,69,1.103581190109253,normal,6,3
7,62,80,1.9295623302459717,normal,11,3
8,68,73,1.1272187232971191,normal,6,3
9,75,65,0.9112863540649414,normal,7,3
10,82,59,1.1143667697906494,normal,7,3
11,90,63,1.5260906219482422,normal,8,3
12,98,58,1.05613112449646,normal,8,3
13,100,149,0.21461939811706543,normal,2,3
0,7,69,1.3055572509765625,normal,7,4
1,15,86,1.502265214920044,normal,8,4
2,22,87,1.327016830444336,normal,7,4
3,33,75,1.7856805324554443,normal,11,4
4,43,68,1.3128674030303955,normal,10,4
5,56,77,1.6220104694366455,normal,13,4
6,63,75,1.3103554248809814,normal,7,4
7,70,68,1.3080694675445557,normal,7,4
8,77,61,0.8600220680236816,normal,7,4
9,88,58,1.4724128246307373,normal,11,4
10,98,74,1.334385633468628,normal,10,4
11,100,161,0.20955610275268555,normal,2,4
0,7,75,0.9358067512512207,normal,7,5
1,17,67,1.2832520008087158,normal,10,5
2,29,76,1.5021960735321045,normal,12,5
3,37,79,0.9065811634063721,normal,8,5
4,43,82,0.7053773403167725,normal,6,5
5,50,79,0.9567561149597168,normal,7,5
