Score Time
638 2.12677 
628 2.1276 
673 2.11105 
654 2.08714 
666 2.13341 
624 2.11174 
654 2.09119 
607 2.11915 
627 2.11518 
715 2.10132 
630 2.07877 
628 2.06237 
648 2.06021 
633 2.07544 
653 2.02553 
598 2.07567 
629 2.07587 
669 2.09639 
625 2.09103 
613 2.09408 
645 2.08236 
617 2.11102 
643 2.13164 
615 2.09087 
599 2.07015 
652 2.1608 
616 2.06444 
621 2.09417 
654 2.11809 
616 2.09436 
640 2.1779 
594 2.06611 
660 2.11711 
685 2.09329 
630 2.0968 
628 2.11193 
628 2.08836 
623 2.16187 
601 2.11534 
639 2.07857 
657 2.09977 
673 2.05104 
666 2.33033 
608 2.10995 
641 2.14199 
624 2.19514 
660 2.13067 
664 2.11344 
620 2.12771 
638 2.04079 
671 2.07499 
622 2.06982 
654 2.05617 
632 2.10051 
625 2.05474 
631 2.05197 
686 2.02494 
669 2.06792 
601 2.04897 
602 2.03101 
648 1.99502 
643 2.08432 
602 2.06027 
645 2.03395 
654 2.02855 
668 2.07997 
639 2.08568 
615 2.04205 
671 2.09146 
620 2.05282 
638 2.07642 
621 2.03862 
604 2.0373 
646 2.08032 
672 2.04453 
661 2.07777 
610 2.0401 
639 2.11404 
662 2.05799 
629 2.01811 
633 2.07318 
626 2.03202 
643 2.05004 
642 2.0176 
618 2.07067 
624 2.06756 
618 2.00965 
668 2.03859 
647 2.07101 
625 2.01825 
687 2.01852 
655 2.03384 
673 2.06865 
617 2.06232 
652 2.01601 
643 2.01432 
674 2.04166 
627 2.06466 
607 2.05622 
670 2.069 
640 2.07209 
652 2.03812 
624 2.05966 
640 2.04295 
615 2.05875 
652 2.07623 
656 2.04839 
620 2.09778 
624 2.05998 
637 2.04607 
649 2.04807 
683 2.04993 
657 2.01929 
686 2.07824 
700 2.08188 
632 2.05652 
625 2.07234 
625 2.07845 
664 2.06143 
672 2.03649 
625 2.03592 
625 2.05129 
649 2.03084 
667 2.0557 
643 2.0855 
675 2.04981 
638 2.03976 
614 2.05026 
615 2.09888 
673 2.03308 
650 2.02613 
644 2.06353 
