,iter,score,time,passes,iteration
0,7,60,1.2840394973754883,7,0
1,17,77,1.8597464561462402,10,0
2,25,75,1.5103719234466553,8,0
3,33,61,1.3248326778411865,8,0
4,40,89,1.214881181716919,7,0
5,46,79,0.6938257217407227,6,0
6,50,77,0.43821120262145996,4,0
0,9,72,1.2641441822052002,9,1
1,16,73,0.9163966178894043,7,1
2,30,76,1.7340829372406006,14,1
3,40,93,1.6872835159301758,10,1
4,48,80,1.0512943267822266,8,1
5,50,163,0.232558012008667,2,1
0,9,65,1.6123993396759033,9,2
1,17,47,0.9477953910827637,8,2
2,25,82,1.164114236831665,8,2
3,34,66,1.1697609424591064,9,2
4,42,68,0.9584882259368896,8,2
5,50,75,1.1531970500946045,8,2
0,8,92,1.4250235557556152,8,3
1,14,102,0.732304573059082,6,3
2,20,87,0.9653244018554688,6,3
3,27,57,1.3221826553344727,7,3
4,36,81,1.6721773147583008,9,3
5,45,51,1.3776075839996338,9,3
6,50,73,0.54726243019104,5,3
0,8,68,1.0598421096801758,8,4
1,16,76,1.3029546737670898,8,4
2,25,71,1.4291460514068604,9,4
3,32,82,1.149742603302002,7,4
4,40,68,1.485217809677124,8,4
5,47,74,1.1291563510894775,7,4
6,50,97,0.34139227867126465,3,4
0,8,84,1.4856276512145996,8,5
1,15,70,1.3048732280731201,7,5
2,22,91,1.2729790210723877,7,5
3,31,64,1.678238868713379,9,5
4,38,62,1.323437213897705,7,5
5,44,60,0.9729061126708984,6,5
6,50,76,0.6351268291473389,6,5
0,7,68,0.9281518459320068,7,6
1,15,77,1.4837586879730225,8,6
2,25,85,1.4928615093231201,10,6
3,32,59,1.2591047286987305,7,6
4,41,101,1.6887173652648926,9,6
5,49,59,0.9971985816955566,8,6
6,50,286,0.11744427680969238,1,6
0,7,80,1.2607860565185547,7,7
1,17,63,1.4978644847869873,10,7
2,25,78,1.5104176998138428,8,7
3,33,74,1.0513544082641602,8,7
4,40,66,1.1709654331207275,7,7
5,47,64,0.8435080051422119,7,7
6,50,115,0.4719047546386719,3,7
0,10,79,1.8450815677642822,10,8
1,16,74,1.0354504585266113,6,8
2,27,53,2.0684895515441895,11,8
3,34,76,1.3220248222351074,7,8
4,41,50,0.9247167110443115,7,8
5,49,95,1.0032036304473877,8,8
6,50,265,0.10345768928527832,1,8
0,7,74,0.8890314102172852,7,9
1,14,62,1.122739553451538,7,9
2,22,60,1.1400809288024902,8,9
3,32,58,1.4032347202301025,10,9
4,41,76,1.6288304328918457,9,9
5,50,77,1.4618077278137207,9,9
0,7,98,1.2597484588623047,7,10
1,14,80,1.3012490272521973,7,10
2,21,90,1.3151659965515137,7,10
3,27,89,0.8287932872772217,6,10
4,38,93,1.3607182502746582,11,10
5,45,69,1.2800700664520264,7,10
6,50,77,0.7557737827301025,5,10
